idema,lon,fint,prec,alt,vmax,vv,dv,lat,dmax,ubi,hr,tamin,ta,tamax,pres,stdvv,ts,pres_nmar,tpr,vis,stddv,inso,tss5cm,psoltp,pliqt,rviento,vmaxu,dvu,pacutp,vvu,stdvvu,stddvu,dmaxu,tss20cm,geo850,geo925,nieve,geo700
0009X,0.963335,2025-01-07T07:00:00+0000,0.0,406.0,12.0,5.8,279.0,41.213894,292.0,ALFORJA,72.0,6.3,6.4,6.8,,,,,,,,,,,,,,,,,,,,,,,,
0016A,1.178894,2025-01-07T07:00:00+0000,0.0,71.0,12.4,2.6,170.0,41.14972,290.0,REUS/AEROPUERTO,56.0,9.0,9.1,11.5,1006.1,0.9,7.1,1015.4,0.9,30.0,23.0,0.0,,,,,,,,,,,,,,,,
0034X,1.260838,2025-01-07T07:00:00+0000,0.0,233.0,,,,41.293053,,VALLS,60.0,8.5,8.5,9.0,,,,,,,,,,,,,,,,,,,,,,,,
0042Y,1.249167,2025-01-07T07:00:00+0000,0.0,55.0,4.2,1.3,295.0,41.123894,332.0,TARRAGONA  FAC. GEOGRAFIA,65.0,6.7,7.6,7.6,,,,,,,,,,,,,,,,,,,,,,,,
0061X,1.519269,2025-01-07T07:00:00+0000,0.0,632.0,14.9,7.8,308.0,41.417053,300.0,PONTONS,60.0,4.4,4.6,4.8,,,,,,,,,,,,,,,,,,,,,,,,
0066X,1.676942,2025-01-07T07:00:00+0000,0.0,177.0,2.5,1.2,336.0,41.33028,140.0,VILAFRANCA DEL PENEDÈS,84.0,3.5,3.5,4.0,,,,,,,,,,,,,,,,,,,,,,,,
0073X,1.852626,2025-01-07T07:00:00+0000,0.0,58.0,2.3,1.0,313.0,41.243786,347.0,SITGES-VALLCARCA,76.0,6.1,6.1,7.5,,,,,,,,,,,,,,,,,,,,,,,,
0076,2.069995,2025-01-07T07:00:00+0000,0.0,4.0,6.7,5.0,10.0,41.29278,10.0,BARCELONA/AEROPUERTO,74.0,6.7,6.8,7.8,1014.7,0.2,6.8,1015.3,2.5,30.0,3.0,0.0,,,,,,,,,,,,,,,,
0092X,1.857494,2025-01-07T07:00:00+0000,0.0,682.0,2.3,1.3,82.0,42.101387,117.0,BERGA  INSTITUTO,92.0,1.7,1.8,1.8,,,,,,,,,,,,,,,,,,,,,,,,
0106X,1.872504,2025-01-07T07:00:00+0000,0.0,361.0,2.5,1.1,324.0,41.866386,340.0,BALSARENY,96.0,-0.2,0.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,
0114X,2.026561,2025-01-07T07:00:00+0000,0.0,700.0,1.9,0.6,196.0,42.007057,255.0,PRATS DE LLUÇANÈS,100.0,3.2,3.2,3.4,,,,,,,,,,,,,,,,,,,,,,,,
0120X,2.09539,2025-01-07T07:00:00+0000,0.0,742.0,3.1,0.9,280.0,41.81328,265.0,MOIÀ,95.0,1.7,1.7,2.1,,,,,,,,,,,,,,,,,,,,,,,,
0149X,1.84028,2025-01-07T07:00:00+0000,0.0,291.0,4.8,1.3,17.0,41.71988,69.0,MANRESA,88.0,1.9,2.5,2.6,980.9,,0.7,1016.7,0.6,20.0,,0.0,6.7,0.0,0.0,,,,,,,,,,,,,
0158X,1.839223,2025-01-07T07:00:00+0000,0.0,738.0,,,,41.594444,,MONTSERRAT,83.0,0.8,2.4,2.7,,,,,,,,,,,,,,,,,,,,,,,,
0171X,1.617778,2025-01-07T07:00:00+0000,0.0,313.0,3.9,1.1,316.0,41.578888,319.0,IGUALADA,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,
0201D,2.200001,2025-01-07T07:00:00+0000,0.0,26.0,4.1,2.3,325.0,41.390556,315.0,BARCELONA  PORT OLÍMPIC,71.0,8.5,8.6,8.9,,,,,3.6,,,,,,,65.0,,,,,,,,,,,,
0201X,2.173886,2025-01-07T07:00:00+0000,0.0,11.0,5.3,2.2,290.0,41.374996,300.0,BARCELONA  DRASSANES,63.0,8.6,8.8,8.8,,,,,,,,,,,,,,,,,,,,,,,,
0222X,2.168412,2025-01-07T07:00:00+0000,0.0,175.0,1.9,0.8,331.0,41.612663,355.0,CALDES DE MONTBUI,97.0,1.4,1.6,1.8,,,,,,,,,,,,,,,,,,,,,,,,
0244X,2.362637,2025-01-07T07:00:00+0000,0.0,56.0,2.6,0.6,92.0,41.504894,117.0,VILASSAR DE DALT,80.0,7.0,7.2,7.5,,,,,,,,,,,,,,,,,,,,,,,,
0252D,2.54,2025-01-07T07:00:00+0000,,74.0,3.5,1.8,1.0,41.587223,7.0,ARENYS DE MAR,87.0,6.5,7.0,7.3,,,,,5.0,,,,,,,46.0,,,,,,,,,,,,
0260X,2.431023,2025-01-07T07:00:00+0000,0.0,936.0,,,,41.760063,,FONTMARTINA,95.0,2.4,2.6,2.7,,,,,,,,,,,,,,,,,,,,,,,,
0281Y,2.805112,2025-01-07T07:00:00+0000,0.0,45.0,6.7,4.2,319.0,41.677055,320.0,BLANES JARDIN BOTANICO,84.0,7.4,7.4,8.9,,,,,,,,,,,,,,,,,,,,,,,,
0284X,3.030933,2025-01-07T07:00:00+0000,0.0,14.0,2.8,0.5,252.0,41.807816,227.0,CASTELL PLATJA D?ARO,97.0,7.5,7.9,8.1,,,,,,,,,,,,,,,,,,,,,,,,
0312X,2.364353,2025-01-07T07:00:00+0000,0.0,851.0,2.8,1.4,236.0,42.258446,252.0,SANT PAU DE SEGURIES,,-0.7,-0.7,-0.4,,,,,,,,,,,,,,,,,,,,,,,,
